Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
648,services.exe,IPv6,TCP,LISTEN,::,49674,::,0,2026-04-06T12:03:02Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv4,UDP,,192.168.40.142,137,,0,2026-04-06T12:02:53Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv4,UDP,,192.168.40.142,138,,0,2026-04-06T12:02:53Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,192.168.40.142,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3344,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-04-06T12:03:00Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4860,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-06T12:05:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-06T12:02:55Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-04-06T12:17:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,192.168.40.142,53966,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,127.0.0.1,53967,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3732,svchost.exe,IPv4,UDP,,127.0.0.1,60044,,0,2026-04-06T12:03:02Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4860,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-06T12:05:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv4,UDP,,0.0.0.0,52831,,0,2026-04-06T12:21:06Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,fe80::e9cf:b0a0:5ba:e965,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv6,UDP,,::,5353,,0,2026-04-06T12:02:55Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4860,msedge.exe,IPv6,UDP,,::,5353,,0,2026-04-06T12:05:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv6,UDP,,::,5355,,0,2026-04-06T12:17:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv6,UDP,,::,52831,,0,2026-04-06T12:21:06Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,fe80::e9cf:b0a0:5ba:e965,53964,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,::1,53965,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
